#kod_pkd#opis#predict_PKD
0#1089#rozwój i produkcja produktów na bazie alg i innych zasobów morskich, w tym hodowla, przetwarzanie, sprzedaż i inne rzeczy, które w naturalny sposób się z tym zbiegają.#Kod PKD: 1089|Kod PKD: 1020|Kod PKD: 1020
1#1814#firma zajmuje się uszlachetnianiem druków poprzez lakierowanie uv#Kod PKD: 2225|Kod PKD: 1627|Kod PKD: 1814
2#2042#produkcja i sprzedaż domowych kosmetyków.#Kod PKD: 2042|Kod PKD: 2042|Kod PKD: 2042
3#1020#produkcja, sprzedaż i eksport produktów rybnych i śledziowych, udział w innych przedsiębiorstwach rybackich oraz działalność, która może być z tym związana.#Kod PKD: 1020|Kod PKD: 1020|Kod PKD: 1020
4#3091#produkcją rur wydechowych dla motocykli wyścigowych.#Kod PKD: 3091|Kod PKD: 3091|Kod PKD: 3091
5#1414#rozwój, produkcja i sprzedaż odzieży.#Kod PKD: 1410|Kod PKD: 1520|Kod PKD: 1520
6#1722#wytwarzaniem podpasek i tamponów dla dorosłych#Kod PKD: 1722|Kod PKD: 1722|Kod PKD: 1722
7#1107#firma zajmuje się przygotowywaniem orzeźwiających napojów na lato#Kod PKD: 1107|Kod PKD: 1107|Kod PKD: 1107
8#2042#własna produkcja naturalnych produktów i kosmetyków dla każdego i oferowanie tego na rynku w rozsądnej cenie.#Kod PKD: 2042|Kod PKD: 2042|Kod PKD: 2042
9#2351#produkcja cementu do celów budowlanych#Kod PKD: 2351|Kod PKD: 2365|Kod PKD: 2352
10#2562#firma zajmuje się produkcją zamków do furtek.#Kod PKD: 1612|Kod PKD: 2562|Kod PKD: 2562
11#2711#firma zajmuje się produkcją stateczników lamp wyładowczych rurowych (transformatorów).#Kod PKD: 2711|Kod PKD: 2711|Kod PKD: 2711
12#2652#firma zajmuje się produkcją kamieni do zegarów.#Kod PKD: 2370|Kod PKD: 2652|Kod PKD: 2391
